desc: I1 cache:         2048 B, 64 B, direct-mapped
desc: D1 cache:         2048 B, 64 B, direct-mapped
desc: LL cache:         8388608 B, 64 B, direct-mapped
cmd: ./slow 2304
events: Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw 
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-environ.c
fn=_dl_next_ld_env_entry
29 3 2 1 3 0 0 0 0 0
32 178 0 0 59 7 0 0 0 0
34 116 0 0 58 26 0 0 0 0
35 20 0 0 10 0 0 0 0 0
37 2 0 0 0 0 0 0 0 0
40 4 1 1 0 0 0 2 1 0
42 2 0 0 2 1 0 0 0 0
45 56 0 0 0 0 0 0 0 0
49 1 0 0 1 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-error-skeleton.c
fn=_dl_catch_error
213 7 1 1 0 0 0 3 0 0
215 4 0 0 0 0 0 1 0 0
216 2 1 1 1 0 0 1 0 0
217 2 0 0 1 0 0 1 0 0
218 2 0 0 1 0 0 1 0 0
220 5 0 0 4 0 0 0 0 0
fn=_dl_catch_exception
175 12 3 1 0 0 0 9 0 0
187 6 3 1 0 0 0 6 4 2
188 6 0 0 0 0 0 3 0 0
190 6 0 0 3 1 0 3 0 0
191 6 0 0 0 0 0 3 0 0
194 18 0 0 0 0 0 3 1 0
196 9 2 1 6 0 0 3 0 0
197 6 0 0 3 0 0 3 2 0
198 12 2 0 3 1 0 6 3 0
207 12 0 0 6 2 0 0 0 0
fn=_dl_receive_error
226 3 1 0 0 0 0 2 0 0
227 1 0 0 1 1 0 0 0 0
228 1 1 1 1 0 0 0 0 0
231 1 0 0 0 0 0 1 0 0
232 1 0 0 0 0 0 1 0 0
234 2 0 0 0 0 0 1 1 0
236 1 0 0 0 0 0 1 0 0
237 1 0 0 0 0 0 1 0 0
238 4 0 0 3 1 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-hwcaps.c
fn=_dl_important_hwcaps
42 13 2 2 0 0 0 10 2 2
43 8 0 0 1 0 0 3 0 0
46 3 0 0 0 0 0 0 0 0
55 18 1 1 1 1 0 0 0 0
56 6 0 0 0 0 0 0 0 0
57 4 0 0 0 0 0 0 0 0
65 3 1 1 1 0 0 0 0 0
69 3 1 1 0 0 0 0 0 0
129 1 0 0 0 0 0 0 0 0
131 4 1 1 0 0 0 0 0 0
146 7 0 0 0 0 0 0 0 0
147 1 0 0 0 0 0 0 0 0
149 2 0 0 0 0 0 0 0 0
166 1 0 0 0 0 0 0 0 0
183 19 2 2 2 0 0 1 0 0
184 6 0 0 2 0 0 2 1 1
186 1 0 0 0 0 0 1 1 1
187 2 0 0 0 0 0 2 0 0
188 7 0 0 1 0 0 0 0 0
191 3 1 1 1 0 0 0 0 0
193 1 0 0 0 0 0 1 0 0
194 6 0 0 1 0 0 1 0 0
198 2 0 0 0 0 0 1 0 0
199 1 0 0 0 0 0 1 0 0
202 3 0 0 1 0 0 0 0 0
205 4 1 1 0 0 0 1 0 0
209 8 0 0 1 0 0 2 0 0
210 4 0 0 1 0 0 0 0 0
212 3 1 1 0 0 0 0 0 0
213 2 0 0 0 0 0 0 0 0
214 3 0 0 1 0 0 0 0 0
215 2 0 0 0 0 0 0 0 0
222 2 1 1 0 0 0 0 0 0
228 11 0 0 1 0 0 5 1 0
229 5 1 1 0 0 0 1 0 0
230 4 0 0 2 0 0 0 0 0
259 10 0 0 0 0 0 3 1 0
262 6 1 1 2 0 0 2 0 0
265 2 1 1 0 0 0 0 0 0
269 1 0 0 1 0 0 0 0 0
272 2 0 0 0 0 0 0 0 0
275 12 0 0 4 0 0 4 0 0
278 13 1 1 3 0 0 0 0 0
279 24 1 1 1 0 0 6 0 0
280 6 0 0 2 0 0 2 0 0
283 10 1 1 4 0 0 4 0 0
285 7 0 0 3 0 0 0 0 0
290 28 1 1 2 0 0 0 0 0
291 16 0 0 0 0 0 8 1 1
295 22 1 1 0 0 0 0 0 0
298 51 0 0 0 0 0 0 0 0
299 72 0 0 0 0 0 0 0 0
300 36 0 0 24 0 0 0 0 0
302 6 0 0 0 0 0 0 0 0
305 3 0 0 1 0 0 0 0 0
306 2 0 0 0 0 0 0 0 0
307 15 1 1 1 0 0 0 0 0
309 6 0 0 0 0 0 0 0 0
310 2 1 1 2 0 0 0 0 0
313 4 0 0 0 0 0 2 0 0
320 19 0 0 6 0 0 4 0 0
321 4 0 0 0 0 0 0 0 0
323 8 0 0 0 0 0 0 0 0
326 3 0 0 2 0 0 1 0 0
328 2 1 1 1 0 0 0 0 0
329 9 2 1 7 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-init.c
fn=_dl_init
30 15 3 2 5 4 0 0 0 0
36 8 0 0 0 0 0 4 0 0
39 16 0 0 8 7 0 0 0 0
40 3 2 1 0 0 0 0 0 0
44 9 1 1 3 3 0 0 0 0
45 3 1 1 1 1 0 0 0 0
49 4 0 0 2 1 0 0 0 0
58 15 1 1 6 3 0 3 1 0
61 1 0 0 1 1 0 0 0 0
62 4 0 0 0 0 0 0 0 0
68 6 1 1 4 2 0 0 0 0
70 5 0 0 4 0 0 0 0 0
71 23 1 1 4 0 0 3 0 0
72 14 2 1 3 2 0 3 0 0
79 11 1 1 0 0 0 6 0 0
80 1 0 0 1 1 0 0 0 0
81 1 0 0 1 0 0 0 0 0
84 3 1 1 1 0 0 0 0 0
87 2 0 0 0 0 0 1 1 0
92 2 0 0 0 0 0 0 0 0
117 2 0 0 1 1 0 0 0 0
118 15 0 0 0 0 0 0 0 0
119 12 1 0 8 8 0 0 0 0
125 8 0 0 7 1 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-load.c
fn=_dl_dst_count
230 14 2 1 0 0 0 12 2 0
233 4 0 0 0 0 0 2 0 0
236 4 0 0 0 0 0 0 0 0
237 2 0 0 0 0 0 0 0 0
256 18 2 1 14 0 0 0 0 0
fn=_dl_init_paths
678 9 2 2 0 0 0 7 1 0
691 6 0 0 2 0 0 2 1 1
695 1 1 1 0 0 0 1 0 0
696 2 1 0 0 0 0 1 0 0
697 3 0 0 0 0 0 0 0 0
704 4 0 0 0 0 0 0 0 0
705 5 0 0 1 0 0 2 0 0
708 6 1 1 0 0 0 2 0 0
710 2 0 0 0 0 0 0 0 0
716 1 0 0 0 0 0 1 0 0
717 1 0 0 0 0 0 1 1 0
719 1 0 0 0 0 0 0 0 0
725 3 0 0 0 0 0 3 0 0
727 8 0 0 0 0 0 4 0 0
728 4 0 0 0 0 0 4 3 3
730 5 0 0 0 0 0 4 0 0
731 8 1 1 3 0 0 4 1 1
732 7 1 1 0 0 0 0 0 0
735 6 0 0 3 2 2 0 0 0
736 24 0 0 8 0 0 4 0 0
739 30 1 1 3 0 0 5 0 0
745 1 0 0 0 0 0 1 1 1
746 1 1 1 0 0 0 1 0 0
750 1 0 0 1 1 0 0 0 0
751 2 0 0 0 0 0 0 0 0
753 4 0 0 1 1 0 0 0 0
755 3 0 0 1 1 0 0 0 0
772 2 0 0 0 0 0 1 1 0
774 3 1 1 1 1 0 0 0 0
788 2 1 1 0 0 0 1 0 0
793 5 1 1 2 1 0 0 0 0
795 12 2 2 0 0 0 2 0 0
799 2 0 0 0 0 0 0 0 0
800 61 1 1 15 0 0 0 0 0
801 56 0 0 0 0 0 0 0 0
804 1 0 0 0 0 0 1 0 0
805 1 0 0 0 0 0 1 0 0
806 2 1 0 0 0 0 0 0 0
812 7 0 0 0 0 0 1 0 0
815 3 1 0 2 1 0 0 0 0
821 1 0 0 0 0 0 1 0 0
825 8 0 0 7 0 0 0 0 0
fn=_dl_map_object
656 9 1 1 3 1 0 0 0 0
665 3 1 1 2 0 0 0 0 0
2151 27 6 2 0 0 0 24 4 2
2153 2 0 0 0 0 0 2 1 0
2159 6 0 0 0 0 0 0 0 0
2160 12 0 0 3 3 1 0 0 0
2163 42 3 1 9 3 0 0 0 0
2168 49 0 0 7 4 0 0 0 0
2170 35 4 1 0 0 0 7 2 2
2174 12 0 0 6 0 0 0 0 0
2175 18 0 0 6 6 0 0 0 0
2178 2 0 0 2 2 0 0 0 0
2179 4 0 0 4 4 0 0 0 0
2180 8 0 0 0 0 0 2 1 0
2196 6 2 1 2 2 0 0 0 0
2206 6 0 0 2 1 0 0 0 0
2240 2 0 0 0 0 0 2 2 2
2242 11 3 2 1 0 0 2 0 0
2246 4 0 0 0 0 0 2 0 0
2248 2 0 0 0 0 0 0 0 0
2255 4 0 0 1 1 0 0 0 0
2259 4 2 2 1 0 0 1 0 0
2260 2 0 0 0 0 0 1 0 0
2264 3 0 0 1 1 0 0 0 0
2267 7 0 0 0 0 0 3 0 0
2279 3 0 0 0 0 0 0 0 0
2280 7 1 1 1 0 0 1 0 0
2290 2 1 1 1 1 0 0 0 0
2291 15 2 2 1 0 0 4 0 0
2297 5 1 0 0 0 0 0 0 0
2306 1 0 0 0 0 0 1 0 0
2320 2 1 1 0 0 0 0 0 0
2322 3 0 0 1 1 0 0 0 0
2326 3 0 0 0 0 0 1 0 0
2328 2 1 0 0 0 0 0 0 0
2332 2 1 1 0 0 0 0 0 0
2340 3 0 0 1 1 0 0 0 0
2363 11 0 0 0 0 0 3 0 0
2367 5 2 1 3 0 0 0 0 0
2368 2 0 0 0 0 0 1 0 0
2385 2 1 1 1 0 0 0 0 0
2391 1 0 0 0 0 0 1 0 0
2393 6 0 0 0 0 0 1 0 0
2394 5 0 0 0 0 0 1 0 0
2398 10 1 1 0 0 0 2 0 0
2401 5 0 0 3 0 0 0 0 0
2413 7 1 1 0 0 0 0 0 0
2415 2 0 0 0 0 0 0 0 0
2459 4 1 0 2 2 0 2 0 0
2460 30 4 1 6 0 0 10 1 0
2462 27 3 1 21 3 0 0 0 0
fn=_dl_map_object_from_fd
424 2 1 1 1 0 0 0 0 0
863 30 2 1 0 0 0 22 3 2
873 8 2 1 2 0 0 4 2 1
874 2 0 0 0 0 0 2 1 0
889 29 0 0 9 6 0 0 0 0
890 10 2 1 5 4 0 0 0 0
907 4 2 1 2 1 0 0 0 0
931 8 0 0 2 0 0 2 2 0
941 4 2 1 2 1 0 0 0 0
963 8 0 0 4 0 0 0 0 0
995 4 0 0 0 0 0 0 0 0
998 16 2 1 10 0 0 2 0 0
999 4 0 0 0 0 0 0 0 0
1010 6 0 0 4 3 0 2 2 2
1011 8 0 0 4 0 0 4 0 0
1012 4 0 0 2 0 0 2 1 0
1014 6 2 1 0 0 0 0 0 0
1015 8 0 0 4 0 0 0 0 0
1016 2 0 0 0 0 0 0 0 0
1031 6 0 0 0 0 0 4 0 0
1033 2 0 0 0 0 0 2 0 0
1035 20 2 1 2 0 0 2 0 0
1036 2 0 0 0 0 0 0 0 0
1037 2 2 1 0 0 0 2 0 0
1043 112 0 0 0 0 0 0 0 0
1044 127 4 2 17 6 2 0 0 0
1050 4 0 0 2 1 0 0 0 0
1055 4 0 0 2 0 0 2 1 0
1056 8 0 0 2 0 0 2 1 0
1061 2 2 1 1 0 0 1 0 0
1062 1 0 0 0 0 0 0 0 0
1067 20 4 2 8 3 0 0 0 0
1072 32 0 0 8 1 0 0 0 0
1080 16 0 0 0 0 0 0 0 0
1081 16 2 1 0 0 0 4 2 2
1082 20 0 0 4 0 0 4 0 0
1083 4 0 0 0 0 0 4 1 1
1084 8 0 0 4 0 0 4 0 0
1085 8 0 0 0 0 0 4 2 2
1089 8 0 0 0 0 0 0 0 0
1090 12 0 0 6 0 0 2 0 0
1094 8 0 0 0 0 0 0 0 0
1095 28 1 1 4 0 0 4 0 0
1105 4 0 0 0 0 0 0 0 0
1108 3 0 0 1 0 0 0 0 0
1112 1 0 0 0 0 0 1 1 1
1113 3 0 0 2 0 0 1 0 0
1114 2 0 0 0 0 0 0 0 0
1115 1 0 0 0 0 0 0 0 0
1117 3 1 1 0 0 0 1 0 0
1118 2 0 0 1 0 0 1 0 0
1121 1 0 0 0 0 0 1 0 0
1125 4 0 0 1 0 0 0 0 0
1131 3 1 0 1 0 0 2 1 0
1132 1 0 0 0 0 0 0 0 0
1140 10 0 0 2 1 0 2 0 0
1147 4 1 1 2 0 0 2 0 0
1148 2 2 1 0 0 0 0 0 0
1151 4 0 0 2 0 0 2 1 1
1152 4 0 0 2 0 0 2 0 0
1153 2 0 0 0 0 0 0 0 0
1156 8 0 0 2 1 0 0 0 0
1165 4 0 0 0 0 0 0 0 0
1175 18 2 1 6 1 0 4 0 0
1187 8 2 1 4 0 0 0 0 0
1196 6 2 1 2 0 0 2 0 0
1203 4 2 1 0 0 0 0 0 0
1218 6 0 0 2 0 0 0 0 0
1237 4 0 0 2 0 0 2 0 0
1239 10 2 1 4 3 0 0 0 0
1293 6 0 0 2 2 1 0 0 0
1294 2 0 0 1 0 0 1 0 0
1297 8 0 0 2 2 0 2 1 0
1306 4 0 0 2 0 0 0 0 0
1308 8 2 1 4 0 0 2 0 0
1310 4 0 0 2 2 0 0 0 0
1326 4 0 0 0 0 0 2 0 0
1330 4 0 0 2 2 0 0 0 0
1331 4 0 0 2 0 0 0 0 0
1348 4 2 1 2 2 0 0 0 0
1349 1 0 0 0 0 0 1 1 0
1352 6 0 0 2 0 0 4 2 0
1357 4 0 0 2 0 0 0 0 0
1367 4 0 0 2 1 0 0 0 0
1377 6 2 1 2 0 0 2 0 0
1381 6 0 0 2 1 0 0 0 0
1401 18 2 0 14 2 0 0 0 0
fn=expand_dynamic_string_token
233 6 2 1 0 0 0 2 1 1
236 4 2 0 0 0 0 0 0 0
375 18 2 1 0 0 0 12 0 0
389 4 0 0 0 0 0 0 0 0
400 14 0 0 12 0 0 0 0 0
fn=fillin_rpath
444 16 2 2 0 0 0 12 1 0
446 1 0 0 0 0 0 0 0 0
448 12 0 0 4 0 0 2 0 0
455 2 1 1 1 0 0 0 0 0
457 4 0 0 1 0 0 1 0 0
461 2 1 0 0 0 0 0 0 0
466 2 0 0 0 0 0 1 0 0
467 2 0 0 0 0 0 0 0 0
474 7 2 2 1 0 0 0 0 0
479 4 0 0 0 0 0 2 0 0
483 17 1 1 5 1 0 0 0 0
484 8 0 0 4 3 0 0 0 0
502 4 3 3 1 0 0 1 0 0
505 1 1 1 0 0 0 1 0 0
506 7 0 0 2 1 0 2 0 0
508 3 0 0 1 0 0 0 0 0
512 2 0 0 0 0 0 2 1 1
513 1 0 0 0 0 0 0 0 0
514 4 0 0 0 0 0 2 0 0
515 2 0 0 1 0 0 1 0 0
517 2 0 0 1 1 0 0 0 0
523 4 1 1 1 0 0 0 0 0
524 40 2 2 1 0 0 1 0 0
525 12 1 1 0 0 0 5 0 0
527 2 0 0 1 0 0 1 0 0
528 3 1 1 1 0 0 0 0 0
533 2 1 1 0 0 0 1 0 0
535 1 0 0 0 0 0 1 0 0
536 1 0 0 0 0 0 1 0 0
539 3 0 0 0 0 0 1 0 0
541 3 1 0 1 0 0 1 0 0
545 1 0 0 0 0 0 1 0 0
548 9 0 0 7 0 0 0 0 0
fn=open_path
2003 8 1 1 0 0 0 6 1 1
2004 2 1 1 1 0 0 1 1 1
2007 1 0 0 0 0 0 1 0 0
2008 1 0 0 0 0 0 1 0 0
2010 2 0 0 0 0 0 0 0 0
2015 18 1 1 3 1 0 7 2 2
2018 3 1 1 2 1 0 0 0 0
2022 3 0 0 0 0 0 0 0 0
2027 4 0 0 0 0 0 1 0 0
2034 5 1 1 2 1 0 2 1 1
2035 35 0 0 0 0 0 0 0 0
2038 16 1 1 8 1 0 0 0 0
2042 80 0 0 48 11 0 16 0 0
2045 16 1 1 0 0 0 8 0 0
2048 24 0 0 8 4 0 0 0 0
2051 80 8 0 40 0 0 16 1 1
2053 40 8 1 24 6 0 0 0 0
2055 16 0 0 0 0 0 0 0 0
2060 16 1 1 8 0 0 0 0 0
2061 64 1 1 32 12 0 0 0 0
2067 62 1 1 26 17 0 9 0 0
2069 48 0 0 8 0 0 8 0 0
2070 2 0 0 1 0 0 0 0 0
2072 23 8 1 0 0 0 8 2 0
2089 2 0 0 0 0 0 1 0 0
2117 2 0 0 0 0 0 0 0 0
2120 7 2 2 1 1 0 0 0 0
2125 1 0 0 1 0 0 0 0 0
2127 4 0 0 3 1 0 0 0 0
2130 3 0 0 1 0 0 0 0 0
2144 9 2 2 7 0 0 0 0 0
fn=open_verify.constprop.7
1653 140 20 2 10 0 0 80 2 1
1692 48 0 0 10 1 0 0 0 0
1705 8 8 0 0 0 0 0 0 0
1723 40 0 0 0 0 0 10 1 1
1725 22 2 1 0 0 0 0 0 0
1730 8 0 0 0 0 0 0 0 0
1736 2 0 0 0 0 0 2 2 0
1737 6 0 0 0 0 0 4 0 0
1742 14 0 0 2 0 0 2 0 0
1744 4 0 0 0 0 0 0 0 0
1746 4 2 1 2 0 0 2 0 0
1748 4 0 0 0 0 0 0 0 0
1754 4 0 0 0 0 0 0 0 0
1770 34 4 3 19 5 4 0 0 0
1844 4 0 0 2 0 0 0 0 0
1849 4 2 1 2 0 0 0 0 0
1851 8 0 0 2 0 0 0 0 0
1857 4 0 0 0 0 0 0 0 0
1868 4 0 0 2 0 0 0 0 0
1874 8 0 0 2 0 0 0 0 0
1875 8 2 1 2 0 0 0 0 0
1876 4 0 0 2 0 0 0 0 0
1896 80 0 0 0 0 0 0 0 0
1898 38 2 1 17 12 12 0 0 0
1911 6 0 0 0 0 0 0 0 0
1914 8 2 1 4 0 0 0 0 0
1915 6 2 1 2 0 0 0 0 0
1939 18 2 1 12 3 3 0 0 0
1941 2 0 0 0 0 0 0 0 0
1942 24 4 2 4 0 0 0 0 0
1945 6 0 0 0 0 0 0 0 0
1950 1 0 0 0 0 0 0 0 0
1951 4 0 0 1 0 0 0 0 0
1954 2 0 0 0 0 0 0 0 0
1957 2 0 0 1 0 0 0 0 0
1958 4 1 1 1 0 0 0 0 0
1959 1 0 0 1 0 0 0 0 0
1960 3 0 0 1 0 0 0 0 0
1961 3 0 0 1 1 0 0 0 0
1985 6 2 1 0 0 0 2 0 0
1989 90 2 1 70 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-lookup.c
fn=_dl_lookup_symbol_x
554 194 0 0 0 0 0 0 0 0
555 5933 13 1 1459 116 78 0 0 0
556 5448 0 0 0 0 0 0 0 0
790 1358 94 2 97 3 0 873 124 2
792 194 0 0 0 0 0 97 8 1
793 194 0 0 0 0 0 97 0 0
796 97 0 0 97 89 0 0 0 0
800 467 0 0 185 4 0 0 0 0
804 1067 92 1 194 0 0 388 2 0
805 291 13 1 97 41 0 0 0 0
811 339 0 0 113 90 0 0 0 0
813 1261 92 1 485 0 0 679 20 1
816 469 10 0 89 89 0 0 0 0
819 32 0 0 0 0 0 0 0 0
841 194 0 0 97 8 0 0 0 0
843 48 8 1 8 6 0 0 0 0
860 8 7 1 0 0 0 8 1 0
861 16 7 1 0 0 0 0 0 0
865 623 89 1 178 41 0 0 0 0
896 89 0 0 0 0 0 0 0 0
905 356 0 0 89 7 0 0 0 0
919 267 0 0 89 89 0 0 0 0
920 2 1 1 0 0 0 1 0 0
922 356 89 1 178 79 0 0 0 0
927 89 0 0 0 0 0 89 82 0
929 889 8 0 679 192 0 0 0 0
fn=_dl_setup_hash
939 12 4 1 4 1 0 0 0 0
943 4 0 0 4 2 0 0 0 0
947 8 0 0 4 4 4 4 3 1
948 4 0 0 4 0 0 0 0 0
949 4 0 0 4 1 1 0 0 0
951 12 0 0 0 0 0 0 0 0
952 4 0 0 0 0 0 4 1 0
953 12 0 0 4 1 0 4 0 0
955 4 4 1 0 0 0 4 1 0
956 8 0 0 0 0 0 0 0 0
958 4 0 0 0 0 0 4 1 0
960 12 0 0 0 0 0 4 0 0
961 4 0 0 4 1 0 0 0 0
fn=do_lookup_x
78 623 89 1 267 23 6 0 0 0
90 1103 0 0 0 0 0 465 118 0
93 378 42 0 189 10 0 50 0 0
97 89 0 0 89 8 0 0 0 0
98 178 64 1 89 8 0 0 0 0
100 176 0 0 0 0 0 0 0 0
119 88 0 0 88 82 8 0 0 0
120 792 6 1 352 65 0 0 0 0
121 880 253 2 352 2 0 264 27 0
148 2 1 1 0 0 0 0 0 0
150 5 0 0 2 1 0 0 0 0
180 35 5 1 20 4 0 0 0 0
294 217 0 0 0 0 0 0 0 0
338 1261 191 2 97 0 0 1067 151 4
339 97 0 0 97 97 0 0 0 0
344 194 0 0 97 0 0 0 0 0
345 97 0 0 97 0 0 0 0 0
349 612 16 1 612 302 0 0 0 0
352 612 0 0 306 99 0 0 0 0
356 1194 0 0 97 0 0 97 0 0
360 612 131 1 306 260 0 0 0 0
364 612 0 0 306 42 0 0 0 0
370 918 0 0 306 233 0 0 0 0
374 94 0 0 0 0 0 94 0 0
375 94 26 1 0 0 0 94 1 0
378 612 0 0 612 469 0 0 0 0
379 918 92 1 612 194 0 306 10 0
382 306 0 0 306 0 0 0 0 0
383 612 0 0 0 0 0 0 0 0
385 306 0 0 306 303 34 0 0 0
386 194 93 1 0 0 0 97 0 0
387 612 0 0 612 125 0 0 0 0
390 1530 0 0 612 0 0 0 0 0
393 2142 93 1 0 0 0 0 0 0
396 188 0 0 188 90 49 0 0 0
397 282 6 1 0 0 0 0 0 0
398 188 0 0 0 0 0 0 0 0
400 282 0 0 94 1 0 94 0 0
403 950 90 1 380 98 62 0 0 0
405 356 0 0 89 0 0 0 0 0
406 267 0 0 89 67 19 0 0 0
407 178 0 0 0 0 0 0 0 0
413 303 0 0 0 0 0 0 0 0
421 194 0 0 0 0 0 0 0 0
446 10 3 1 5 0 0 0 0 0
452 890 6 1 445 12 0 0 0 0
503 178 0 0 0 0 0 0 0 0
506 664 9 1 89 0 0 0 0 0
510 36 1 0 12 12 0 0 0 0
522 534 16 2 267 6 0 267 92 0
524 89 0 0 0 0 0 0 0 0
540 1532 0 0 583 179 0 0 0 0
541 266 0 0 38 1 0 76 4 1
544 651 0 0 0 0 0 0 0 0
547 16 0 0 0 0 0 0 0 0
548 776 1 0 679 16 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-minimal.c
fn=calloc
92 8 8 1 0 0 0 0 0 0
96 8 0 0 0 0 0 0 0 0
99 16 0 0 0 0 0 0 0 0
100 24 0 0 0 0 0 0 0 0
103 8 0 0 0 0 0 0 0 0
fn=free
111 12 3 1 6 2 0 0 0 0
fn=malloc
49 3 1 0 0 0 0 2 0 0
50 87 22 1 43 12 0 0 0 0
55 3 0 0 0 0 0 1 0 0
56 2 2 2 1 1 0 0 0 0
57 2 0 0 0 0 0 0 0 0
61 66 0 0 0 0 0 22 0 0
64 150 16 1 0 0 0 0 0 0
69 4 0 0 1 0 0 0 0 0
70 2 0 0 0 0 0 0 0 0
72 1 0 0 0 0 0 0 0 0
73 8 1 1 0 0 0 1 1 0
75 2 0 0 0 0 0 0 0 0
77 3 0 0 1 0 0 0 0 0
79 3 1 0 0 0 0 1 0 0
82 22 0 0 0 0 0 22 0 0
83 22 12 0 0 0 0 22 0 0
85 47 0 0 24 0 0 0 0 0
fn=strsep
265 4 2 1 2 2 0 0 0 0
267 2 0 0 2 0 0 0 0 0
268 4 0 0 0 0 0 0 0 0
272 77 0 0 15 0 0 0 0 0
277 56 1 1 28 0 0 0 0 0
279 84 0 0 28 0 0 0 0 0
287 14 0 0 0 0 0 0 0 0
290 1 0 0 0 0 0 1 0 0
294 2 1 0 2 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-misc.c
fn=_dl_name_match_p
282 260 22 1 0 0 0 104 0 0
283 208 0 0 52 27 0 52 8 1
284 55 3 1 0 0 0 0 0 0
286 52 22 1 52 40 0 0 0 0
288 210 0 0 0 0 0 0 0 0
289 280 0 0 56 48 0 56 1 0
292 53 0 0 53 0 0 0 0 0
294 49 0 0 0 0 0 0 0 0
295 260 0 0 156 14 0 0 0 0
fn=_dl_sysdep_read_whole_file
44 8 1 1 0 0 0 4 0 0
47 3 0 0 0 0 0 1 0 0
48 2 0 0 0 0 0 0 0 0
50 7 1 1 0 0 0 1 0 0
52 2 0 0 1 0 0 1 0 0
55 2 0 0 0 0 0 0 0 0
57 8 1 1 0 0 0 1 0 0
68 2 0 0 0 0 0 1 0 0
71 7 0 0 5 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-object.c
fn=_dl_add_to_namespace_list
31 15 6 2 0 0 0 9 2 0
33 9 0 0 3 3 0 3 0 0
35 22 0 0 3 2 0 0 0 0
38 15 0 0 5 5 0 0 0 0
40 2 0 0 0 0 0 2 1 0
42 2 0 0 0 0 0 2 0 0
45 2 1 1 0 0 0 1 0 0
46 9 2 0 3 0 0 0 0 0
47 6 0 0 3 2 0 3 1 0
48 6 0 0 0 0 0 3 0 0
50 6 0 0 3 0 0 0 0 0
51 9 0 0 9 1 0 0 0 0
fn=_dl_new_object
59 39 3 1 0 0 0 24 5 3
60 18 0 0 0 0 0 9 0 0
66 18 3 1 3 3 0 0 0 0
68 6 0 0 0 0 0 0 0 0
73 15 0 0 0 0 0 6 0 0
76 6 0 0 0 0 0 0 0 0
79 3 0 0 0 0 0 3 2 2
80 9 3 1 3 0 0 3 3 3
84 6 0 0 0 0 0 3 1 1
85 24 3 1 9 1 0 9 4 2
87 3 0 0 0 0 0 3 0 0
95 18 1 0 6 2 0 3 1 1
96 15 0 0 3 3 3 3 0 0
99 6 3 1 3 0 0 0 0 0
100 8 5 2 2 0 0 3 3 3
101 3 0 0 0 0 0 3 2 1
105 3 0 0 0 0 0 3 0 0
108 43 0 0 0 0 0 0 0 0
110 32 0 0 0 0 0 16 4 4
120 6 0 0 0 0 0 3 1 1
121 3 0 0 0 0 0 3 3 3
124 1 1 1 0 0 0 0 0 0
126 18 3 1 3 1 0 0 0 0
128 6 2 0 0 0 0 2 1 1
131 8 0 0 0 0 0 0 0 0
135 6 0 0 2 2 0 0 0 0
139 11 1 1 0 0 0 0 0 0
147 1 0 0 0 0 0 1 0 0
150 6 3 1 0 0 0 3 0 0
153 9 0 0 0 0 0 3 2 0
155 8 0 0 2 0 0 4 0 0
159 8 0 0 2 0 0 0 0 0
163 8 2 1 0 0 0 2 0 0
164 4 0 0 0 0 0 0 0 0
172 2 0 0 0 0 0 0 0 0
176 2 0 0 0 0 0 0 0 0
209 48 4 1 2 0 0 2 0 0
214 42 0 0 0 0 0 0 0 0
215 88 0 0 42 0 0 0 0 0
220 4 0 0 0 0 0 2 0 0
223 2 0 0 0 0 0 2 0 0
227 27 0 0 21 5 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-open.c
fn=_dl_find_dso_for_object
176 5 1 1 0 0 0 4 0 0
180 6 1 1 1 1 0 0 0 0
181 10 1 1 3 3 0 0 0 0
182 12 0 0 6 3 0 0 0 0
183 2 0 0 1 1 0 0 0 0
186 2 0 0 1 1 0 0 0 0
190 7 1 1 5 0 0 0 0 0
fl=/build/glibc-S9d2JN/glibc-2.27/elf/dl-reloc.c
fn=_dl_relocate_object
148 48 4 1 0 0 0 32 4 0
155 4 0 0 0 0 0 4 0 0
158 6 0 0 0 0 0 0 0 0
159 12 0 0 0 0 0 8 2 0
163 8 0 0 0 0 0 0 0 0
164 20 4 1 4 3 0 4 0 0
170 12 0 0 8 1 0 0 0 0
176 16 0 0 4 0 0 0 0 0
177 8 0 0 4 4 0 0 0 0
180 9 4 2 0 0 0 0 0 0
187 8 1 0 4 1 0 0 0 0
231 12 0 0 8 7 0 4 0 0
258 190 16 3 80 22 0 42 3 0
261 16 0 0 4 0 0 0 0 0
285 4 0 0 4 4 0 0 0 0
288 8 0 0 4 0 0 0 0 0
305 12 4 1 4 4 0 0 0 0
307 32 0 0 28 5 0 0 0 0
313 24 0 0 12 3 0 0 0 0
316 8 0 0 0 0 0 0 0 0
320 8 0 0 0 0 0 0 0 0
